Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_LAC_FSG_CSH_1070,Cashmere Lacobel Glass 2550 x 1070,"Cashmere Lacobel Glass 2550 x 1070
Painted to RAL 060-80-05",133.00,0.00,2.00,FALSE
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.00,1.00,FALSE
GLS_MIR_FSG_SILV_960,Silver Mirror 4mm Safety backed 2440 x 960,Silver Mirror 4mm 2440 x 960,29.28,0.00,1.00,FALSE
SLD_TRR_RAU_10.01.018,Top Roller S751,Top Roller S751,2.20,0.00,6.00,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.00,3.00,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.00,6.00,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.00,6.00,FALSE
SLD_SDR_RAU_10.07.008,Screw Dividing Rail,Screw Dividing Rail,0.16,0.00,4.00,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.00,12.00,FALSE
SLD_DEB_RAU_10.07.020,Dust Excluding Brush - Grey,Dust Excluding Brush - Grey,0.74,0.00,15.00,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.00,20.00,FALSE
SLD_CRS_RAU_13.33.020,Cross Strips (Dividing Rail Glued) - Silver,Cross Strips (Dividing Rail Glued) - Silver,7.19,0.00,1.00,FALSE
SLD_BRS_RAU_15.04.020,Bottom rail - Silver,Bottom rail - Silver,25.48,0.00,1.00,FALSE
SLD_BTSI_RAU_15.05.020,Bottom Track Double Surface Silver,Bottom Track Double Surface Silver,15.77,0.00,1.00,FALSE
SLD_ANSI_RAU_15.11.022,S751 - Anodised Silver,S751 - Anodised Silver,21.48,0.00,3.00,FALSE
SLD_TRSI_RAU_15.12.020,Top Rail - Silver,Top Rail - Silver,13.31,0.00,1.00,FALSE
SLD_TTSI_RAU_15.25.020,Top Track Double S34 40mm Silver,"Top Track Double S34, 40mm Silver",30.98,0.00,1.00,FALSE
SLD_DST_RAU_25.12.046,Double Sided Tape,Double Sided Tape,0.21,0.00,1.00,FALSE
